index,maquina,data
9225,26,2015-02-27
31169,86,2015-01-25
23637,65,2015-07-04
21385,59,2015-05-10
2498,7,2015-10-28
33130,91,2015-06-02
8121,23,2015-02-23
16907,47,2015-02-17
33874,93,2015-06-13
18234,50,2015-10-03
6642,19,2015-02-11
26311,72,2015-10-21
2092,6,2015-09-19
25862,71,2015-07-30
29472,81,2015-06-09
14879,41,2015-08-04
17070,47,2015-07-30
11533,32,2015-06-17
10514,29,2015-09-06
6906,19,2015-11-02
11624,32,2015-09-15
35605,98,2015-03-04
19145,53,2015-03-28
26735,73,2015-12-17
21414,59,2015-06-08
14562,40,2015-09-22
2420,7,2015-08-11
1568,5,2015-04-14
32763,90,2015-06-02
13285,37,2015-03-28
19858,55,2015-03-09
25624,70,2015-12-06
27781,76,2015-10-26
2193,6,2015-12-29
36184,99,2015-10-01
22073,61,2015-03-27
19204,53,2015-05-26
33732,93,2015-01-22
32250,89,2015-01-06
15691,43,2015-10-23
19545,54,2015-05-01
31072,85,2015-10-21
16798,46,2015-11-01
32342,89,2015-04-08
18097,50,2015-05-19
35524,97,2015-12-14
7808,22,2015-04-18
29199,80,2015-09-10
21639,60,2015-01-18
16950,47,2015-04-01
29250,80,2015-10-31
23724,65,2015-09-28
10114,28,2015-08-03
8876,25,2015-03-18
3209,9,2015-10-07
14698,41,2015-02-04
14259,39,2015-11-24
33909,93,2015-07-18
1561,5,2015-04-07
13369,37,2015-06-20
31785,87,2015-10-02
20086,55,2015-10-23
17462,48,2015-08-25
24400,67,2015-08-02
30699,84,2015-10-14
2027,6,2015-07-16
11957,33,2015-08-12
690,2,2015-11-20
26372,72,2015-12-21
27325,75,2015-07-28
31798,87,2015-10-15
35392,97,2015-08-04
33753,93,2015-02-12
16543,46,2015-02-19
780,3,2015-02-17
12438,34,2015-12-05
23327,64,2015-08-29
13538,37,2015-12-06
7393,21,2015-03-02
34771,95,2015-11-24
27203,75,2015-03-28
30506,84,2015-04-04
24669,68,2015-04-27
11575,32,2015-07-28
10977,30,2015-12-11
3241,9,2015-11-08
29814,82,2015-05-16
19123,53,2015-03-06
13836,38,2015-09-29
22716,62,2015-12-29
11102,31,2015-04-14
19281,53,2015-08-11
13530,37,2015-11-28
6034,17,2015-06-16
13967,39,2015-02-05
18390,51,2015-03-07
26693,73,2015-11-05
12398,34,2015-10-26
10443,29,2015-06-27
9614,27,2015-03-22
21376,59,2015-05-01
12037,33,2015-10-31
3355,10,2015-03-01
5031,14,2015-09-24
19566,54,2015-05-22
5410,15,2015-10-06
4596,13,2015-07-19
10488,29,2015-08-11
20320,56,2015-06-13
28392,78,2015-06-27
19989,55,2015-07-18
1857,6,2015-01-27
8933,25,2015-05-14
26004,71,2015-12-19
30374,83,2015-11-25
10233,28,2015-11-30
1292,4,2015-07-13
36093,99,2015-07-02
32954,90,2015-12-09
19194,53,2015-05-16
276,1,2015-10-04
34875,96,2015-03-07
10815,30,2015-07-03
2016,6,2015-07-05
26876,74,2015-05-06
19273,53,2015-08-03
8018,22,2015-11-13
30432,84,2015-01-20
17069,47,2015-07-29
34763,95,2015-11-16
14314,40,2015-01-17
19605,54,2015-06-30
6331,18,2015-04-07
3878,11,2015-08-04
556,2,2015-07-09
31096,85,2015-11-14
32830,90,2015-08-08
31566,87,2015-02-25
4410,13,2015-01-15
29430,81,2015-04-28
33203,91,2015-08-14
24785,68,2015-08-21
24613,68,2015-03-02
4438,13,2015-02-12
9712,27,2015-06-28
15205,42,2015-06-25
9718,27,2015-07-04
5773,16,2015-09-30
17735,49,2015-05-24
32702,90,2015-04-02
12982,36,2015-05-30
13952,39,2015-01-21
28072,77,2015-08-12
27193,75,2015-03-18
11370,32,2015-01-05
28058,77,2015-07-29
11581,32,2015-08-03
4743,13,2015-12-12
16012,44,2015-09-08
17642,49,2015-02-20
17918,49,2015-11-22
19269,53,2015-07-30
19981,55,2015-07-10
13425,37,2015-08-15
34271,94,2015-07-14
22391,62,2015-02-07
27923,77,2015-03-16
29737,82,2015-02-28
15816,44,2015-02-24
4781,14,2015-01-17
28751,79,2015-06-20
5120,14,2015-12-22
23048,63,2015-11-24
35253,97,2015-03-18
11167,31,2015-06-18
36455,100,2015-06-28
1716,5,2015-09-09
16814,46,2015-11-17
19429,54,2015-01-05
28614,79,2015-02-03
12897,36,2015-03-06
16488,45,2015-12-27
28643,79,2015-03-04
4309,12,2015-10-07
30404,83,2015-12-25
34343,94,2015-09-24
18952,52,2015-09-18
13960,39,2015-01-29
5694,16,2015-07-13
34826,96,2015-01-17
26042,72,2015-01-25
19389,53,2015-11-27
35214,97,2015-02-07
18289,50,2015-11-27
29821,82,2015-05-23
31589,87,2015-03-20
13895,38,2015-11-27
4202,12,2015-06-22
8433,23,2016-01-01
15006,41,2015-12-09
30588,84,2015-06-25
1173,4,2015-03-16
8510,24,2015-03-18
18583,51,2015-09-16
34129,94,2015-02-22
7609,21,2015-10-03
30047,83,2015-01-03
4754,13,2015-12-22
11633,32,2015-09-24
34455,95,2015-01-12
20028,55,2015-08-26
29839,82,2015-06-10
7687,21,2015-12-20
32079,88,2015-07-22
3292,9,2015-12-29
18076,50,2015-04-28
9811,27,2015-10-05
29294,80,2015-12-14
14952,41,2015-10-16
6028,17,2015-06-10
12295,34,2015-07-15
35307,97,2015-05-11
2735,8,2015-06-21
25524,70,2015-08-28
30391,83,2015-12-12
3688,11,2015-01-27
11577,32,2015-07-30
27754,76,2015-09-29
30660,84,2015-09-05
10168,28,2015-09-26
35920,99,2015-01-10
26925,74,2015-06-24
15147,42,2015-04-28
15694,43,2015-10-26
36033,99,2015-05-03
16573,46,2015-03-21
35898,98,2015-12-20
22027,61,2015-02-09
30716,84,2015-10-31
17620,49,2015-01-29
31193,86,2015-02-18
3581,10,2015-10-13
28485,78,2015-09-28
3696,11,2015-02-04
14741,41,2015-03-19
31432,86,2015-10-15
23399,64,2015-11-09
801,3,2015-03-10
16872,47,2015-01-13
14843,41,2015-06-29
34851,96,2015-02-11
11322,31,2015-11-19
3613,10,2015-11-14
17455,48,2015-08-18
10908,30,2015-10-03
6960,19,2015-12-26
20419,56,2015-09-20
30345,83,2015-10-27
5619,16,2015-04-30
16987,47,2015-05-08
7282,20,2015-11-12
1063,3,2015-11-27
14415,40,2015-04-28
10421,29,2015-06-05
32067,88,2015-07-10
7035,20,2015-03-10
10556,29,2015-10-18
25505,70,2015-08-09
30179,83,2015-05-15
34680,95,2015-08-25
18591,51,2015-09-24
20116,55,2015-11-22
16583,46,2015-03-31
16741,46,2015-09-05
16761,46,2015-09-25
4091,12,2015-03-03
32459,89,2015-08-03
19675,54,2015-09-08
23006,63,2015-10-13
28729,79,2015-05-29
20943,58,2015-02-23
32951,90,2015-12-06
11518,32,2015-06-02
16001,44,2015-08-28
5950,17,2015-03-25
36469,100,2015-07-12
7180,20,2015-08-02
9401,26,2015-08-22
19724,54,2015-10-27
25807,71,2015-06-05
31490,86,2015-12-12
14075,39,2015-05-24
14032,39,2015-04-11
4673,13,2015-10-03
26555,73,2015-06-20
31616,87,2015-04-16
17399,48,2015-06-23
6013,17,2015-05-26
18640,51,2015-11-12
12363,34,2015-09-21
30475,84,2015-03-04
4368,12,2015-12-05
20336,56,2015-06-29
3445,10,2015-05-30
18121,50,2015-06-12
21464,59,2015-07-28
32386,89,2015-05-22
379,2,2015-01-14
25118,69,2015-07-19
34433,94,2015-12-22
7775,22,2015-03-17
25553,70,2015-09-26
7473,21,2015-05-21
9998,28,2015-04-09
30400,83,2015-12-21
28527,78,2015-11-09
3996,11,2015-11-30
10748,30,2015-04-27
34118,94,2015-02-11
23940,66,2015-05-01
11232,31,2015-08-22
13250,37,2015-02-21
22889,63,2015-06-18
22076,61,2015-03-30
14700,41,2015-02-06
21416,59,2015-06-10
31582,87,2015-03-13
6252,18,2015-01-18
22462,62,2015-04-19
31625,87,2015-04-25
19014,52,2015-11-18
5211,15,2015-03-21
2996,9,2015-03-08
16307,45,2015-06-29
5711,16,2015-07-30
20663,57,2015-05-20
25382,70,2015-04-08
16852,46,2015-12-25
5536,16,2015-02-06
10975,30,2015-12-09
151,1,2015-06-01
16517,46,2015-01-24
29332,81,2015-01-20
4138,12,2015-04-19
19219,53,2015-06-10
10754,30,2015-05-03
33507,92,2015-06-12
6917,19,2015-11-13
15556,43,2015-06-10
11903,33,2015-06-19
7312,20,2015-12-12
21978,60,2015-12-23
14301,40,2015-01-04
19244,53,2015-07-05
4122,12,2015-04-03
12763,35,2015-10-24
14697,41,2015-02-03
18926,52,2015-08-23
33206,91,2015-08-17
27780,76,2015-10-25
4939,14,2015-06-24
33696,92,2015-12-18
25338,70,2015-02-23
32909,90,2015-10-25
9979,28,2015-03-21
11319,31,2015-11-17
15228,42,2015-07-18
17645,49,2015-02-23
35409,97,2015-08-21
12584,35,2015-04-29
17943,49,2015-12-17
18013,50,2015-02-24
21604,59,2015-12-15
27269,75,2015-06-02
16260,45,2015-05-13
10173,28,2015-10-01
9502,26,2015-12-01
36397,100,2015-05-01
19327,53,2015-09-26
31955,88,2015-03-20
36560,100,2015-10-11
30317,83,2015-09-29
34795,95,2015-12-18
24189,67,2015-01-03
16864,47,2015-01-05
13681,38,2015-04-27
25225,69,2015-11-03
2015,6,2015-07-04
1622,5,2015-06-07
14202,39,2015-09-28
17627,49,2015-02-05
11537,32,2015-06-21
15848,44,2015-03-28
21245,58,2015-12-22
10998,30,2016-01-01
33561,92,2015-08-05
34736,95,2015-10-20
15647,43,2015-09-09
5644,16,2015-05-25
29084,80,2015-05-18
15527,43,2015-05-12
17346,48,2015-05-01
25805,71,2015-06-03
35125,96,2015-11-12
19285,53,2015-08-15
24652,68,2015-04-10
31201,86,2015-02-26
29309,80,2015-12-29
28323,78,2015-04-19
13792,38,2015-08-16
29678,81,2016-01-01
11399,32,2015-02-03
35862,98,2015-11-14
27817,76,2015-12-01
29882,82,2015-07-23
19760,54,2015-12-02
29917,82,2015-08-27
4599,13,2015-07-22
10881,30,2015-09-06
13724,38,2015-06-09
24909,68,2015-12-23
13645,38,2015-03-22
2316,7,2015-04-29
32172,88,2015-10-22
10219,28,2015-11-16
791,3,2015-02-28
11919,33,2015-07-05
5083,14,2015-11-15
30340,83,2015-10-22
4123,12,2015-04-04
30527,84,2015-04-25
12487,35,2015-01-22
3194,9,2015-09-22
34824,96,2015-01-15
20179,56,2015-01-23
9761,27,2015-08-16
24542,67,2015-12-22
9188,26,2015-01-21
4329,12,2015-10-27
36106,99,2015-07-15
21597,59,2015-12-08
33278,91,2015-10-28
18739,52,2015-02-17
26864,74,2015-04-24
1203,4,2015-04-15
18982,52,2015-10-18
1852,6,2015-01-22
7930,22,2015-08-17
13272,37,2015-03-15
17885,49,2015-10-20
24002,66,2015-07-01
17241,48,2015-01-16
35837,98,2015-10-20
15928,44,2015-06-16
3788,11,2015-05-06
29881,82,2015-07-22
31424,86,2015-10-07
7784,22,2015-03-25
11956,33,2015-08-11
28373,78,2015-06-08
13197,36,2015-12-31
997,3,2015-09-22
4200,12,2015-06-20
912,3,2015-06-29
23279,64,2015-07-12
34029,93,2015-11-15
23410,64,2015-11-20
32007,88,2015-05-11
29596,81,2015-10-11
13955,39,2015-01-24
2875,8,2015-11-08
31861,87,2015-12-17
9327,26,2015-06-09
10129,28,2015-08-18
16142,45,2015-01-15
33664,92,2015-11-16
16869,47,2015-01-10
10972,30,2015-12-06
29219,80,2015-09-30
9539,27,2015-01-06
4387,12,2015-12-24
36589,100,2015-11-09
33438,92,2015-04-05
28185,77,2015-12-03
23132,64,2015-02-15
17332,48,2015-04-17
28978,80,2015-02-01
11477,32,2015-04-22
3864,11,2015-07-21
17997,50,2015-02-08
29862,82,2015-07-03
14560,40,2015-09-20
33069,91,2015-04-02
26821,74,2015-03-12
26017,71,2016-01-01
2936,9,2015-01-07
35439,97,2015-09-20
17956,49,2015-12-30
14215,39,2015-10-11
6509,18,2015-10-02
28451,78,2015-08-25
31392,86,2015-09-05
7649,21,2015-11-12
28710,79,2015-05-10
35030,96,2015-08-09
9371,26,2015-07-23
4973,14,2015-07-28
32749,90,2015-05-19
3325,10,2015-01-30
21824,60,2015-07-22
36527,100,2015-09-08
34841,96,2015-02-01
9349,26,2015-07-01
4553,13,2015-06-06
7719,22,2015-01-20
13732,38,2015-06-17
2764,8,2015-07-20
18167,50,2015-07-28
7084,20,2015-04-28
1253,4,2015-06-04
32611,90,2015-01-01
20811,57,2015-10-15
11204,31,2015-07-25
2666,8,2015-04-13
17579,48,2015-12-20
12182,34,2015-03-24
5390,15,2015-09-16
19096,53,2015-02-07
35469,97,2015-10-20
5150,15,2015-01-20
8369,23,2015-10-29
21596,59,2015-12-07
22492,62,2015-05-19
8985,25,2015-07-04
33838,93,2015-05-08
4842,14,2015-03-19
8242,23,2015-06-24
7683,21,2015-12-16
12782,35,2015-11-12
11849,33,2015-04-26
12612,35,2015-05-27
22793,63,2015-03-14
19635,54,2015-07-30
34388,94,2015-11-08
6224,17,2015-12-22
12714,35,2015-09-06
22324,61,2015-12-03
17329,48,2015-04-14
17363,48,2015-05-18
30933,85,2015-06-04
15191,42,2015-06-11
35981,99,2015-03-12
15347,42,2015-11-14
26885,74,2015-05-15
3151,9,2015-08-10
25634,70,2015-12-16
12723,35,2015-09-15
2904,8,2015-12-07
14991,41,2015-11-24
24073,66,2015-09-10
29198,80,2015-09-09
32075,88,2015-07-18
29783,82,2015-04-15
35789,98,2015-09-02
19540,54,2015-04-26
21899,60,2015-10-05
28350,78,2015-05-16
35174,96,2015-12-31
5579,16,2015-03-21
30774,84,2015-12-28
22970,63,2015-09-07
31134,85,2015-12-22
15094,42,2015-03-06
3987,11,2015-11-21
26547,73,2015-06-12
5321,15,2015-07-09
19527,54,2015-04-13
6930,19,2015-11-26
14529,40,2015-08-20
5406,15,2015-10-02
35984,99,2015-03-15
34786,95,2015-12-09
10807,30,2015-06-25
3253,9,2015-11-20
5860,16,2015-12-26
31667,87,2015-06-06
25863,71,2015-07-31
183,1,2015-07-03
30882,85,2015-04-14
7520,21,2015-07-07
23428,64,2015-12-08
18839,52,2015-05-28
11818,33,2015-03-26
25851,71,2015-07-19
4231,12,2015-07-21
17231,48,2015-01-06
28093,77,2015-09-02
19355,53,2015-10-24
827,3,2015-04-05
1727,5,2015-09-20
31001,85,2015-08-11
17598,49,2015-01-07
16333,45,2015-07-25
5857,16,2015-12-23
18699,52,2015-01-09
5015,14,2015-09-08
22979,63,2015-09-16
14133,39,2015-07-21
12180,34,2015-03-22
28952,80,2015-01-06
29573,81,2015-09-18
14681,41,2015-01-18
22858,63,2015-05-18
20771,57,2015-09-05
13138,36,2015-11-02
18580,51,2015-09-13
19010,52,2015-11-14
4424,13,2015-01-29
5597,16,2015-04-08
20423,56,2015-09-24
32897,90,2015-10-13
28449,78,2015-08-23
24854,68,2015-10-29
23855,66,2015-02-05
20201,56,2015-02-14
22363,62,2015-01-10
241,1,2015-08-30
26100,72,2015-03-24
11364,31,2015-12-31
36049,99,2015-05-19
24910,68,2015-12-24
2930,9,2015-01-01
22348,61,2015-12-27
25911,71,2015-09-17
13905,38,2015-12-07
6920,19,2015-11-16
26378,72,2015-12-27
6261,18,2015-01-27
23310,64,2015-08-12
15140,42,2015-04-21
24035,66,2015-08-03
26826,74,2015-03-17
26406,73,2015-01-22
15926,44,2015-06-14
32393,89,2015-05-29
26503,73,2015-04-29
35207,97,2015-01-31
1531,5,2015-03-08
8969,25,2015-06-18
7245,20,2015-10-06
18395,51,2015-03-12
31590,87,2015-03-21
19154,53,2015-04-06
2223,7,2015-01-26
32539,89,2015-10-22
5066,14,2015-10-29
13061,36,2015-08-17
25611,70,2015-11-23
831,3,2015-04-09
7034,20,2015-03-09
29033,80,2015-03-28
33104,91,2015-05-07
15518,43,2015-05-03
5746,16,2015-09-03
16492,45,2015-12-31
17086,47,2015-08-15
1646,5,2015-07-01
15323,42,2015-10-21
3140,9,2015-07-30
9204,26,2015-02-06
25700,71,2015-02-18
32988,91,2015-01-11
2988,9,2015-02-28
6471,18,2015-08-25
26008,71,2015-12-23
22425,62,2015-03-13
30122,83,2015-03-19
1179,4,2015-03-22
20421,56,2015-09-22
26000,71,2015-12-15
32680,90,2015-03-11
12995,36,2015-06-12
38,1,2015-02-08
792,3,2015-03-01
21620,59,2015-12-31
9189,26,2015-01-22
27522,76,2015-02-09
18195,50,2015-08-25
971,3,2015-08-27
12420,34,2015-11-17
30719,84,2015-11-03
10,1,2015-01-11
25092,69,2015-06-23
10392,29,2015-05-07
23473,65,2015-01-21
19514,54,2015-03-31
28465,78,2015-09-08
24991,69,2015-03-14
4319,12,2015-10-17
32573,89,2015-11-25
30551,84,2015-05-19
10566,29,2015-10-28
35499,97,2015-11-19
17035,47,2015-06-25
35027,96,2015-08-06
24391,67,2015-07-24
17910,49,2015-11-14
3824,11,2015-06-11
16917,47,2015-02-27
19827,55,2015-02-06
25883,71,2015-08-20
18520,51,2015-07-15
26829,74,2015-03-20
4072,12,2015-02-12
19517,54,2015-04-03
34730,95,2015-10-14
28080,77,2015-08-20
12987,36,2015-06-04
4205,12,2015-06-25
23844,66,2015-01-25
2793,8,2015-08-18
11296,31,2015-10-25
5079,14,2015-11-11
19312,53,2015-09-11
2872,8,2015-11-05
3448,10,2015-06-02
35475,97,2015-10-26
9594,27,2015-03-02
3969,11,2015-11-03
19222,53,2015-06-13
9453,26,2015-10-13
27157,75,2015-02-10
19324,53,2015-09-23
24078,66,2015-09-15
2966,9,2015-02-06
12112,34,2015-01-13
1212,4,2015-04-24
19597,54,2015-06-22
9317,26,2015-05-30
11668,32,2015-10-29
26501,73,2015-04-27
13460,37,2015-09-19
361,1,2015-12-28
462,2,2015-04-06
8745,24,2015-11-08
19988,55,2015-07-17
2592,8,2015-01-29
6458,18,2015-08-12
17492,48,2015-09-24
10337,29,2015-03-13
7574,21,2015-08-29
13140,36,2015-11-04
21915,60,2015-10-21
27204,75,2015-03-29
29252,80,2015-11-02
18516,51,2015-07-11
16833,46,2015-12-06
9696,27,2015-06-12
2185,6,2015-12-21
28331,78,2015-04-27
34822,96,2015-01-13
17340,48,2015-04-25
22028,61,2015-02-10
34039,93,2015-11-25
21524,59,2015-09-26
28506,78,2015-10-19
702,2,2015-12-02
20121,55,2015-11-27
18002,50,2015-02-13
4744,13,2015-12-13
17040,47,2015-06-30
35287,97,2015-04-21
19565,54,2015-05-21
30250,83,2015-07-24
512,2,2015-05-26
34047,93,2015-12-03
6605,19,2015-01-05
11342,31,2015-12-09
2781,8,2015-08-06
34964,96,2015-06-04
28165,77,2015-11-13
814,3,2015-03-23
12711,35,2015-09-03
24198,67,2015-01-12
26559,73,2015-06-24
19,1,2015-01-20
701,2,2015-12-01
8844,25,2015-02-14
20379,56,2015-08-11
1616,5,2015-06-01
9644,27,2015-04-21
24587,68,2015-02-04
21388,59,2015-05-13
26656,73,2015-09-29
811,3,2015-03-20
5337,15,2015-07-25
25589,70,2015-11-01
14381,40,2015-03-25
20409,56,2015-09-10
30358,83,2015-11-09
5104,14,2015-12-06
32355,89,2015-04-21
282,1,2015-10-10
303,1,2015-10-31
6927,19,2015-11-23
8652,24,2015-08-07
17554,48,2015-11-25
11913,33,2015-06-29
3071,9,2015-05-22
35868,98,2015-11-20
8692,24,2015-09-16
18638,51,2015-11-10
22806,63,2015-03-27
5880,17,2015-01-14
19493,54,2015-03-10
31446,86,2015-10-29
18680,51,2015-12-22
12457,34,2015-12-24
26601,73,2015-08-05
36177,99,2015-09-24
8731,24,2015-10-25
23062,63,2015-12-08
23957,66,2015-05-18
25393,70,2015-04-19
20210,56,2015-02-23
3810,11,2015-05-28
27272,75,2015-06-05
5435,15,2015-10-31
24345,67,2015-06-08
10382,29,2015-04-27
3928,11,2015-09-23
28652,79,2015-03-13
13030,36,2015-07-17
27398,75,2015-10-09
35449,97,2015-09-30
29378,81,2015-03-07
33842,93,2015-05-12
14227,39,2015-10-23
29571,81,2015-09-16
19288,53,2015-08-18
26196,72,2015-06-28
18065,50,2015-04-17
26649,73,2015-09-22
29584,81,2015-09-29
1146,4,2015-02-17
26593,73,2015-07-28
13514,37,2015-11-12
877,3,2015-05-25
31771,87,2015-09-18
10203,28,2015-10-31
33380,92,2015-02-06
1529,5,2015-03-06
27915,77,2015-03-08
22047,61,2015-03-01
15014,41,2015-12-17
35517,97,2015-12-07
26676,73,2015-10-19
13610,38,2015-02-15
30786,85,2015-01-08
34116,94,2015-02-09
23226,64,2015-05-20
9728,27,2015-07-14
9869,27,2015-12-02
7605,21,2015-09-29
3199,9,2015-09-27
9736,27,2015-07-22
1575,5,2015-04-21
10595,29,2015-11-26
10846,30,2015-08-03
30406,83,2015-12-27
29284,80,2015-12-04
6314,18,2015-03-21
16413,45,2015-10-13
23012,63,2015-10-19
8179,23,2015-04-22
910,3,2015-06-27
22353,61,2016-01-01
35384,97,2015-07-27
19557,54,2015-05-13
17556,48,2015-11-27
35428,97,2015-09-09
33829,93,2015-04-29
32178,88,2015-10-28
16863,47,2015-01-04
23861,66,2015-02-11
27000,74,2015-09-07
19460,54,2015-02-05
35797,98,2015-09-10
28118,77,2015-09-27
24578,68,2015-01-26
13,1,2015-01-14
28528,78,2015-11-10
8910,25,2015-04-21
30019,82,2015-12-07
7185,20,2015-08-07
17229,48,2015-01-04
6525,18,2015-10-18
33471,92,2015-05-07
24336,67,2015-05-30
11779,33,2015-02-15
7199,20,2015-08-21
23802,65,2015-12-15
15230,42,2015-07-20
1585,5,2015-05-01
18780,52,2015-03-30
27661,76,2015-06-28
23446,64,2015-12-26
4264,12,2015-08-23
19582,54,2015-06-07
29717,82,2015-02-08
1398,4,2015-10-27
6126,17,2015-09-16
13921,38,2015-12-22
344,1,2015-12-11
8106,23,2015-02-08
25967,71,2015-11-12
15958,44,2015-07-16
30661,84,2015-09-06
5798,16,2015-10-25
11990,33,2015-09-14
35627,98,2015-03-26
11196,31,2015-07-17
17203,47,2015-12-10
15881,44,2015-04-30
22670,62,2015-11-13
31748,87,2015-08-26
18485,51,2015-06-10
8592,24,2015-06-08
24814,68,2015-09-19
17425,48,2015-07-19
21362,59,2015-04-17
15163,42,2015-05-14
31540,87,2015-01-30
3623,10,2015-11-24
500,2,2015-05-14
17058,47,2015-07-18
5755,16,2015-09-12
8593,24,2015-06-09
19689,54,2015-09-22
11788,33,2015-02-24
5054,14,2015-10-17
29914,82,2015-08-24
25412,70,2015-05-08
17948,49,2015-12-22
19688,54,2015-09-21
10512,29,2015-09-04
10674,30,2015-02-12
22350,61,2015-12-29
14163,39,2015-08-20
597,2,2015-08-19
18440,51,2015-04-26
20634,57,2015-04-21
19376,53,2015-11-14
11864,33,2015-05-11
13564,37,2016-01-01
7482,21,2015-05-30
14091,39,2015-06-09
12756,35,2015-10-17
25512,70,2015-08-16
36281,100,2015-01-05
9202,26,2015-02-04
16092,44,2015-11-27
35442,97,2015-09-23
17230,48,2015-01-05
10439,29,2015-06-23
14493,40,2015-07-15
4179,12,2015-05-30
22064,61,2015-03-18
29114,80,2015-06-17
30450,84,2015-02-07
