index,falha
29596,peca1
13955,peca1
2875,peca1
31861,peca1
9327,peca1
10129,peca1
16142,peca1
33664,peca1
16869,peca1
10972,peca1
29219,peca1
9539,peca1
4387,peca1
36589,peca1
33438,peca1
28185,peca1
23132,peca1
17332,peca1
28978,peca1
11477,peca1
3864,peca1
17997,peca1
29862,peca1
14560,peca1
33069,peca1
26821,peca1
26017,peca1
2936,peca1
35439,peca1
17956,peca1
14215,peca1
6509,peca1
28451,peca1
31392,peca1
7649,peca1
28710,peca1
35030,peca1
9371,peca1
4973,peca1
32749,peca1
3325,peca1
21824,peca1
36527,peca1
34841,peca1
9349,peca1
4553,peca1
7719,peca1
13732,peca1
2764,peca1
18167,peca1
7084,peca1
1253,peca1
32611,peca1
20811,peca1
11204,peca1
2666,peca1
17579,peca1
12182,peca1
5390,peca1
19096,peca1
35469,peca1
5150,peca1
8369,peca1
21596,peca1
22492,peca1
8985,peca1
33838,peca1
4842,peca1
8242,peca1
7683,peca1
12782,peca1
11849,peca1
12612,peca1
22793,peca1
19635,peca1
34388,peca1
6224,peca1
12714,peca1
22324,peca1
17329,peca1
17363,peca1
30933,peca1
15191,peca1
35981,peca1
15347,peca1
26885,peca1
3151,peca1
25634,peca1
12723,peca1
2904,peca1
14991,peca1
24073,peca1
29198,peca1
32075,peca1
29783,peca1
35789,peca1
19540,peca1
21899,peca1
28350,peca1
35174,peca1
5579,peca1
30774,peca1
22970,peca1
31134,peca1
15094,peca1
3987,peca1
26547,peca1
5321,peca1
19527,peca1
6930,peca1
14529,peca1
5406,peca1
35984,peca1
34786,peca1
10807,peca1
3253,peca1
5860,peca1
31667,peca1
25863,peca1
183,peca1
30882,peca1
7520,peca1
23428,peca1
18839,peca1
11818,peca1
25851,peca1
4231,peca1
17231,peca1
28093,peca1
19355,peca1
827,peca1
1727,peca1
31001,peca1
17598,peca1
16333,peca1
5857,peca1
18699,peca1
5015,peca1
22979,peca1
14133,peca1
12180,peca1
28952,peca1
29573,peca1
14681,peca1
22858,peca1
20771,peca1
13138,peca1
18580,peca1
19010,peca1
4424,peca1
5597,peca1
20423,peca1
32897,peca1
28449,peca1
24854,peca1
23855,peca1
20201,peca1
22363,peca1
241,peca1
26100,peca1
11364,peca1
36049,peca1
24910,peca1
2930,peca1
22348,peca1
25911,peca1
13905,peca1
6920,peca1
26378,peca1
6261,peca1
23310,peca1
15140,peca1
24035,peca1
26826,peca1
26406,peca1
15926,peca1
32393,peca1
26503,peca1
35207,peca1
1531,peca1
8969,peca1
7245,peca1
18395,peca1
31590,peca1
19154,peca1
2223,peca1
32539,peca1
5066,peca1
13061,peca1
25611,peca1
831,peca1
7034,peca1
29033,peca1
33104,peca1
15518,peca1
5746,peca1
16492,peca1
17086,peca1
1646,peca1
15323,peca1
3140,peca1
9204,peca1
25700,peca1
32988,peca1
2988,peca1
6471,peca1
26008,peca1
22425,peca1
30122,peca1
1179,peca1
20421,peca1
26000,peca1
32680,peca1
12995,peca1
38,peca1
792,peca1
21620,peca1
9189,peca1
27522,peca1
18195,peca1
971,peca1
12420,peca1
30719,peca1
10,peca1
25092,peca1
10392,peca1
23473,peca1
19514,peca1
28465,peca1
24991,peca1
4319,peca1
32573,peca1
30551,peca1
10566,peca1
35499,peca1
17035,peca1
35027,peca1
24391,peca1
17910,peca1
3824,peca1
16917,peca1
19827,peca1
25883,peca1
18520,peca1
26829,peca1
4072,peca1
19517,peca1
34730,peca1
28080,peca1
12987,peca1
4205,peca1
23844,peca1
2793,peca1
11296,peca1
5079,peca1
19312,peca1
2872,peca1
3448,peca1
35475,peca1
9594,peca1
3969,peca1
19222,peca1
9453,peca1
27157,peca1
19324,peca1
24078,peca1
2966,peca1
12112,peca1
1212,peca1
19597,peca1
9317,peca1
11668,peca1
26501,peca1
13460,peca1
361,peca1
462,peca1
8745,peca1
19988,peca1
2592,peca1
6458,peca1
17492,peca1
10337,peca1
7574,peca1
13140,peca1
21915,peca1
27204,peca1
29252,peca1
18516,peca1
16833,peca1
9696,peca1
2185,peca1
28331,peca1
34822,peca1
17340,peca1
22028,peca1
34039,peca1
21524,peca1
28506,peca1
702,peca1
20121,peca1
18002,peca1
4744,peca1
17040,peca1
35287,peca1
19565,peca1
30250,peca1
512,peca1
34047,peca1
6605,peca1
11342,peca1
2781,peca1
34964,peca1
28165,peca1
814,peca1
12711,peca1
24198,peca1
26559,peca1
19,peca1
701,peca1
8844,peca1
20379,peca1
1616,peca1
9644,peca1
24587,peca1
21388,peca1
26656,peca1
811,peca1
5337,peca1
25589,peca1
14381,peca1
20409,peca1
30358,peca1
5104,peca1
32355,peca1
282,peca1
303,peca1
6927,peca1
8652,peca1
17554,peca1
11913,peca1
3071,peca1
35868,peca1
8692,peca1
18638,peca1
22806,peca1
5880,peca1
19493,peca1
31446,peca1
18680,peca1
12457,peca1
26601,peca1
36177,peca1
8731,peca1
23062,peca1
23957,peca1
25393,peca1
20210,peca1
3810,peca1
27272,peca1
5435,peca1
24345,peca1
10382,peca1
3928,peca1
28652,peca1
13030,peca1
27398,peca1
35449,peca1
29378,peca1
33842,peca1
14227,peca1
29571,peca1
19288,peca1
26196,peca1
18065,peca1
26649,peca1
29584,peca1
1146,peca1
26593,peca1
13514,peca1
877,peca1
31771,peca1
10203,peca1
33380,peca1
1529,peca1
27915,peca1
22047,peca1
15014,peca1
35517,peca1
26676,peca1
13610,peca1
30786,peca1
34116,peca1
23226,peca1
9728,peca1
9869,peca1
7605,peca1
3199,peca1
9736,peca1
1575,peca1
10595,peca1
10846,peca1
30406,peca1
29284,peca1
6314,peca1
16413,peca1
23012,peca1
8179,peca1
910,peca1
22353,peca1
35384,peca1
19557,peca1
17556,peca1
35428,peca1
33829,peca1
32178,peca1
16863,peca1
23861,peca1
27000,peca1
19460,peca1
35797,peca1
28118,peca1
24578,peca1
13,peca1
28528,peca1
8910,peca1
30019,peca1
7185,peca1
17229,peca1
6525,peca1
33471,peca1
24336,peca1
11779,peca1
7199,peca1
23802,peca1
15230,peca1
1585,peca1
18780,peca1
27661,peca1
23446,peca1
4264,peca1
19582,peca1
29717,peca1
1398,peca1
6126,peca1
13921,peca1
344,peca1
8106,peca1
25967,peca1
15958,peca1
30661,peca1
5798,peca1
11990,peca1
35627,peca1
11196,peca1
17203,peca1
15881,peca1
22670,peca1
31748,peca1
18485,peca1
8592,peca1
24814,peca1
17425,peca1
21362,peca1
15163,peca1
31540,peca1
3623,peca1
500,peca1
17058,peca1
5755,peca1
8593,peca1
19689,peca1
11788,peca1
5054,peca1
29914,peca1
25412,peca1
17948,peca1
19688,peca1
10512,peca1
10674,peca1
22350,peca1
14163,peca1
597,peca1
18440,peca1
20634,peca1
19376,peca1
11864,peca1
13564,peca1
7482,peca1
14091,peca1
12756,peca1
25512,peca1
36281,peca1
9202,peca1
16092,peca1
35442,peca1
17230,peca1
10439,peca1
14493,peca1
4179,peca1
22064,peca1
29114,peca1
30450,peca1
34316,peca1
12252,peca1
12954,peca1
9303,peca1
29266,peca1
18052,peca1
13214,peca1
16115,peca1
1625,peca1
10091,peca1
22506,peca1
13325,peca1
20659,peca1
25591,peca1
3233,peca1
32473,peca1
7535,peca1
12482,peca1
6956,peca1
16871,peca1
12692,peca1
17252,peca1
13890,peca1
14429,peca1
13545,peca1
19396,peca1
33171,peca1
29382,peca1
11760,peca1
32966,peca1
19630,peca1
7416,peca1
36040,peca1
28647,peca1
12202,peca1
18979,peca1
16960,peca1
31263,peca1
10018,peca1
7651,peca1
34401,peca1
19681,peca1
10363,peca1
34484,peca1
21706,peca1
27586,peca1
19567,peca1
13395,peca1
26187,peca1
8182,peca1
15499,peca1
31354,peca1
22680,peca1
18278,peca1
20281,peca1
8709,peca1
32921,peca1
32917,peca1
6779,peca1
1564,peca1
33677,peca1
722,peca1
6571,peca1
27659,peca1
35855,peca1
14585,peca1
19613,peca1
34458,peca1
1158,peca1
11161,peca1
20893,peca1
6853,peca1
3360,peca1
2403,peca1
26022,peca1
31128,peca1
29272,peca1
28831,peca1
5429,peca1
2701,peca1
26695,peca1
14223,peca1
19490,peca1
16973,peca1
32553,peca1
4275,peca1
28888,peca1
31880,peca1
32358,peca1
18505,peca1
900,peca1
15831,peca1
9748,peca1
25774,peca1
31909,peca1
13128,peca1
20198,peca1
9270,peca1
34291,peca1
17883,peca1
2852,peca1
7451,peca1
3226,peca1
11117,peca1
31414,peca1
21078,peca1
10275,peca1
1778,peca1
34062,peca1
8146,peca1
29359,peca1
30291,peca1
35354,peca1
18996,peca1
16289,peca1
13674,peca1
20593,peca1
6998,peca1
23645,peca1
23220,peca1
31562,peca1
7826,peca1
35595,peca1
22118,peca1
26494,peca1
14785,peca1
14638,peca1
35204,peca1
13540,peca1
26557,peca1
35238,peca1
19555,peca1
33217,peca1
14358,peca1
31388,peca1
8833,peca1
10887,peca1
7481,peca1
7521,peca1
26883,peca1
15546,peca1
1548,peca1
21316,peca1
732,peca1
25003,peca1
5748,peca1
12257,peca1
35986,peca1
11248,peca1
14923,peca1
4025,peca1
22132,peca1
9365,peca1
10704,peca1
27542,peca1
31828,peca1
14186,peca1
32863,peca1
12604,peca1
32697,peca1
16324,peca1
286,peca1
23770,peca1
13282,peca1
25455,peca1
14117,peca1
19301,peca1
24473,peca1
21310,peca1
33944,peca1
10863,peca1
3633,peca1
13123,peca1
14900,peca1
18378,peca1
19961,peca1
13728,peca1
14550,peca1
28084,peca1
20688,peca1
21012,peca1
2147,peca1
16792,peca1
5532,peca1
36426,peca1
1818,peca1
16393,peca1
34772,peca1
32315,peca1
15970,peca1
12494,peca1
29182,peca1
12225,peca1
36442,peca1
22997,peca1
18243,peca1
25041,peca1
29501,peca1
21481,peca1
33663,peca1
6211,peca1
4153,peca1
12558,peca1
10951,peca1
18070,peca1
8823,peca1
19821,peca1
14662,peca1
27637,peca1
23198,peca1
13850,peca1
21751,peca1
9904,peca1
13561,peca1
31611,peca1
3470,peca1
30825,peca1
17360,peca1
20882,peca1
7414,peca1
30488,peca1
219,peca1
19115,peca1
23095,peca1
12142,peca1
30610,peca1
28853,peca1
24236,peca1
27120,peca1
23678,peca1
12489,peca1
34268,peca1
30443,peca1
27170,peca1
7141,peca1
12404,peca1
27431,peca1
34571,peca1
84,peca1
28658,peca1
12483,peca1
11202,peca1
5549,peca1
24516,peca1
23820,peca1
2342,peca1
29,peca1
5461,peca1
23750,peca1
12357,peca1
35180,peca1
29172,peca1
6257,peca1
25772,peca1
22479,peca1
30143,peca1
24204,peca1
12197,peca1
9051,peca1
14214,peca1
21799,peca1
6105,peca1
274,peca1
20876,peca1
3173,peca1
4850,peca1
5248,peca1
31721,peca1
20679,peca1
18271,peca1
14549,peca1
28833,peca1
21380,peca1
25750,peca1
3489,peca1
35488,peca1
20475,peca1
35518,peca1
5568,peca1
35826,peca1
15789,peca1
2251,peca1
27558,peca1
34235,peca1
5169,peca1
29673,peca1
26628,peca1
30083,peca1
32666,peca1
22966,peca1
35785,peca1
8707,peca1
5580,peca1
4157,peca1
14807,peca1
32701,peca1
4735,peca1
2980,peca1
14856,peca1
11728,peca1
15877,peca1
8918,peca1
5726,peca1
18845,peca1
3774,peca1
613,peca1
23516,peca1
19653,peca1
25307,peca1
36121,peca1
15260,peca1
27255,peca1
12447,peca1
17375,peca1
33908,peca1
1607,peca1
17054,peca1
17320,peca1
22458,peca1
5236,peca1
18403,peca1
28421,peca1
9583,peca1
31905,peca1
21241,peca1
9473,peca1
23383,peca1
23701,peca1
20728,peca1
316,peca1
20687,peca1
26750,peca1
16608,peca1
2808,peca1
21551,peca1
1110,peca1
4633,peca1
29861,peca1
17235,peca1
32710,peca1
29193,peca1
25191,peca1
1303,peca1
3345,peca1
21084,peca1
14848,peca1
19639,peca1
23862,peca1
30612,peca1
10911,peca1
13573,peca1
4993,peca1
27904,peca1
24303,peca1
18398,peca1
26180,peca1
19622,peca1
25406,peca1
18142,peca1
20967,peca1
10399,peca1
5162,peca1
7928,peca1
1491,peca1
23653,peca1
649,peca1
7836,peca1
413,peca1
23172,peca1
20493,peca1
27100,peca1
5939,peca1
18669,peca1
21345,peca1
2160,peca1
23677,peca1
505,peca1
8135,peca1
3778,peca1
5703,peca1
26874,peca1
13520,peca1
6307,peca1
15920,peca1
22853,peca1
15517,peca1
23824,peca1
20269,peca1
5164,peca1
853,peca1
32545,peca1
20987,peca1
19593,peca1
2879,peca1
19667,peca1
21298,peca1
23110,peca1
26818,peca1
23648,peca1
13782,peca1
10762,peca1
5554,peca1
27613,peca1
24489,peca1
32403,peca1
254,peca1
27882,peca1
11432,peca1
2081,peca1
10794,peca1
24800,peca1
6401,peca1
3436,peca1
28901,peca1
30018,peca1
11921,peca1
17276,peca1
15395,peca1
24920,peca1
32354,peca1
34072,peca1
5459,peca1
2,peca1
13035,peca1
22812,peca1
8934,peca1
30002,peca1
26664,peca1
25456,peca1
15105,peca1
21028,peca1
25335,peca1
33247,peca1
15562,peca1
7357,peca1
22508,peca1
31635,peca1
16350,peca1
31925,peca1
16183,peca1
5859,peca1
35052,peca1
20500,peca1
11120,peca1
245,peca1
33652,peca1
2477,peca1
21879,peca1
30994,peca1
3855,peca1
7550,peca1
22038,peca1
24855,peca1
24681,peca1
25877,peca1
8767,peca1
15326,peca1
32423,peca1
29873,peca1
17791,peca1
10928,peca1
491,peca1
3644,peca1
15029,peca1
28927,peca1
4504,peca1
6762,peca1
32155,peca1
18889,peca1
36176,peca1
34274,peca1
6580,peca1
4449,peca1
7794,peca1
7760,peca1
29258,peca1
10604,peca1
33558,peca1
29688,peca1
156,peca1
3067,peca1
6444,peca1
25627,peca1
12700,peca1
6045,peca1
15444,peca1
4617,peca1
2199,peca1
12053,peca1
26946,peca1
8116,peca1
4627,peca1
30657,peca1
32932,peca1
24781,peca1
11335,peca1
33621,peca1
11684,peca1
22877,peca1
18585,peca1
8029,peca1
35526,peca1
2738,peca1
16928,peca1
12804,peca1
10112,peca1
7485,peca1
32168,peca1
4047,peca1
31841,peca1
1793,peca1
16919,peca1
30728,peca1
8626,peca1
249,peca1
26951,peca1
15959,peca1
1639,peca1
18482,peca1
14184,peca1
20007,peca1
27047,peca1
21429,peca1
23372,peca1
18210,peca1
16729,peca1
36603,peca1
4661,peca1
26939,peca1
5393,peca1
25551,peca1
16957,peca1
15471,peca1
7619,peca1
4336,peca1
13591,peca1
7226,peca1
121,peca1
34587,peca1
25604,peca1
27910,peca1
27791,peca1
8714,peca1
7498,peca1
8413,peca1
28231,peca1
20951,peca1
22654,peca1
4958,peca1
35619,peca1
9284,peca1
9746,peca1
12062,peca1
19190,peca1
24548,peca1
17208,peca1
24925,peca1
28617,peca1
11360,peca1
35458,peca1
28753,peca1
25682,peca1
10665,peca1
23064,peca1
29023,peca1
18694,peca1
25420,peca1
16785,peca1
7385,peca1
6214,peca1
27881,peca1
8505,peca1
99,peca1
24048,peca1
33536,peca1
323,peca1
19955,peca1
30116,peca1
20156,peca1
22170,peca1
9190,peca1
2076,peca1
26015,peca1
28540,peca1
20176,peca1
34114,peca1
19766,peca1
32072,peca1
7388,peca1
17800,peca1
17679,peca1
16417,peca1
30011,peca1
239,peca1
23398,peca1
27268,peca1
10932,peca1
2931,peca1
1471,peca1
29296,peca1
14388,peca1
24797,peca1
17821,peca1
26591,peca1
2437,peca1
2370,peca1
17785,peca1
21534,peca1
3010,peca1
3229,peca1
6286,peca1
30359,peca1
6151,peca1
28191,peca1
27422,peca1
968,peca1
8043,peca1
11349,peca1
4851,peca1
29515,peca1
15202,peca1
32306,peca1
19722,peca1
35058,peca1
17483,peca1
31835,peca1
10485,peca1
27110,peca1
5163,peca1
8984,peca1
23592,peca1
33526,peca1
1780,peca1
12229,peca1
14762,peca1
6130,peca1
29418,peca1
26612,peca1
8031,peca1
16996,peca1
8578,peca1
34046,peca1
12455,peca1
34278,peca1
36632,peca1
25904,peca1
15751,peca1
8025,peca1
20853,peca1
18751,peca1
13663,peca1
32302,peca1
31797,peca1
12847,peca1
22525,peca1
2671,peca1
7880,peca1
5513,peca1
26736,peca1
29062,peca1
25685,peca1
11625,peca1
14326,peca1
14873,peca1
13644,peca1
31434,peca1
9701,peca1
4440,peca1
11002,peca1
9892,peca1
26558,peca1
27829,peca1
19899,peca1
33502,peca1
4067,peca1
9560,peca1
34535,peca1
26259,peca1
10070,peca1
1542,peca1
743,peca1
21221,peca1
14860,peca1
4900,peca1
15772,peca1
1853,peca1
33996,peca1
2507,peca1
4734,peca1
18464,peca1
12739,peca1
311,peca1
31108,peca1
3085,peca1
34499,peca1
17992,peca1
12931,peca1
13702,peca1
25799,peca1
34309,peca1
17009,peca1
30945,peca1
3397,peca1
20177,peca1
28774,peca1
22625,peca1
24088,peca1
14661,peca1
26377,peca1
29412,peca1
25653,peca1
25935,peca1
28253,peca1
6844,peca1
35541,peca1
28929,peca1
19698,peca1
35749,peca1
2198,peca1
1095,peca1
26165,peca1
107,peca1
10188,peca1
13257,peca1
8950,peca1
31621,peca1
3458,peca1
12256,peca1
15199,peca1
14239,peca1
20333,peca1
19977,peca1
22658,peca1
23997,peca1
20417,peca1
19659,peca1
30865,peca1
2004,peca1
34606,peca1
6198,peca1
16064,peca1
21792,peca1
2811,peca1
12469,peca1
2761,peca1
25574,peca1
17307,peca1
6708,peca1
25076,peca1
7364,peca1
31012,peca1
7917,peca1
26624,peca1
33831,peca1
6672,peca1
2019,peca1
22825,peca1
23765,peca1
1333,peca1
11329,peca1
20439,peca1
10199,peca1
19079,peca1
36350,peca1
26661,peca1
7231,peca1
9008,peca1
3267,peca1
22790,peca1
4287,peca1
34419,peca1
24859,peca1
11689,peca1
4999,peca1
5567,peca1
23658,peca1
6915,peca1
25561,peca1
19974,peca1
25349,peca1
25473,peca1
29466,peca1
33462,peca1
21309,peca1
12133,peca1
9128,peca1
1842,peca1
8149,peca1
21072,peca1
13094,peca1
21556,peca1
30253,peca1
27131,peca1
29776,peca1
16293,peca1
15067,peca1
13833,peca1
5354,peca1
1667,peca1
30772,peca1
3201,peca1
35259,peca1
26104,peca1
20993,peca1
32557,peca1
18090,peca1
27243,peca1
29607,peca1
35085,peca1
29628,peca1
29772,peca1
679,peca1
16239,peca1
10750,peca1
29590,peca1
4303,peca1
35964,peca1
8024,peca1
32269,peca1
17162,peca1
15267,peca1
15711,peca1
34238,peca1
20704,peca1
9404,peca1
5465,peca1
13996,peca1
17969,peca1
36412,peca1
26207,peca1
19513,peca1
31773,peca1
6715,peca1
24058,peca1
25362,peca1
33876,peca1
33127,peca1
24936,peca1
22813,peca1
23418,peca1
