index,maquina,data,falha
2958,9,2015-01-29,ok
34962,96,2015-06-02,ok
16102,44,2015-12-07,ok
11496,32,2015-05-11,ok
22319,61,2015-11-28,ok
9421,26,2015-09-11,ok
14456,40,2015-06-08,ok
15431,43,2015-02-05,comp1
34614,95,2015-06-20,ok
27939,77,2015-04-01,ok
11997,33,2015-09-21,ok
6039,17,2015-06-21,ok
10761,30,2015-05-10,ok
16629,46,2015-05-16,ok
22556,62,2015-07-22,ok
26283,72,2015-09-23,ok
27499,76,2015-01-17,ok
25843,71,2015-07-11,ok
13735,38,2015-06-20,ok
8310,23,2015-08-31,ok
24507,67,2015-11-17,ok
20883,57,2015-12-26,ok
22732,63,2015-01-13,ok
34454,95,2015-01-11,ok
22251,61,2015-09-21,ok
35182,97,2015-01-07,ok
33618,92,2015-10-01,ok
5449,15,2015-11-13,ok
4909,14,2015-05-25,ok
25971,71,2015-11-16,ok
19938,55,2015-05-28,ok
24627,68,2015-03-16,ok
11148,31,2015-05-30,ok
5856,16,2015-12-22,ok
4721,13,2015-11-20,ok
25689,71,2015-02-07,ok
15597,43,2015-07-21,ok
19293,53,2015-08-23,ok
10423,29,2015-06-07,ok
21017,58,2015-05-08,ok
18861,52,2015-06-19,ok
33931,93,2015-08-09,ok
2539,7,2015-12-08,ok
30335,83,2015-10-17,ok
33274,91,2015-10-24,ok
6829,19,2015-08-17,ok
23781,65,2015-11-24,ok
17999,50,2015-02-10,ok
30196,83,2015-06-01,ok
27290,75,2015-06-23,ok
30800,85,2015-01-22,ok
15893,44,2015-05-12,ok
10668,30,2015-02-06,ok
2566,8,2015-01-03,ok
25833,71,2015-07-01,ok
1962,6,2015-05-12,ok
21206,58,2015-11-13,ok
6827,19,2015-08-15,ok
10036,28,2015-05-17,ok
22584,62,2015-08-19,ok
23004,63,2015-10-11,ok
32543,89,2015-10-26,ok
21903,60,2015-10-09,ok
11762,33,2015-01-30,ok
15317,42,2015-10-15,ok
4870,14,2015-04-16,ok
7902,22,2015-07-20,ok
22075,61,2015-03-29,ok
19008,52,2015-11-12,ok
7102,20,2015-05-16,ok
2242,7,2015-02-14,ok
30132,83,2015-03-29,ok
4836,14,2015-03-13,ok
22607,62,2015-09-11,ok
23202,64,2015-04-26,ok
9667,27,2015-05-14,ok
1662,5,2015-07-17,ok
32245,89,2015-01-01,ok
27812,76,2015-11-26,ok
562,2,2015-07-15,ok
2397,7,2015-07-19,ok
1854,6,2015-01-24,ok
17878,49,2015-10-13,ok
34833,96,2015-01-24,ok
32296,89,2015-02-21,ok
9785,27,2015-09-09,ok
18771,52,2015-03-21,ok
18269,50,2015-11-07,ok
1567,5,2015-04-13,ok
35479,97,2015-10-30,ok
34302,94,2015-08-14,ok
30095,83,2015-02-20,ok
14862,41,2015-07-18,ok
22555,62,2015-07-21,ok
17207,47,2015-12-14,ok
11174,31,2015-06-25,ok
4928,14,2015-06-13,ok
26049,72,2015-02-01,ok
35497,97,2015-11-17,ok
4529,13,2015-05-13,ok
1649,5,2015-07-04,ok
18474,51,2015-05-30,ok
663,2,2015-10-24,ok
4419,13,2015-01-24,ok
3177,9,2015-09-05,ok
7666,21,2015-11-29,ok
7911,22,2015-07-29,ok
1924,6,2015-04-04,ok
24644,68,2015-04-02,comp2
3451,10,2015-06-05,ok
13258,37,2015-03-01,ok
19107,53,2015-02-18,ok
27991,77,2015-05-23,ok
21960,60,2015-12-05,ok
6213,17,2015-12-11,ok
9198,26,2015-01-31,ok
5313,15,2015-07-01,ok
24883,68,2015-11-27,ok
9158,25,2015-12-23,ok
3231,9,2015-10-29,ok
4441,13,2015-02-15,ok
9622,27,2015-03-30,ok
15616,43,2015-08-09,ok
20755,57,2015-08-20,ok
21031,58,2015-05-22,ok
5001,14,2015-08-25,ok
27588,76,2015-04-16,ok
4125,12,2015-04-06,ok
10870,30,2015-08-26,ok
30039,82,2015-12-27,ok
35914,99,2015-01-04,ok
5842,16,2015-12-08,ok
6576,18,2015-12-08,ok
29451,81,2015-05-19,ok
32854,90,2015-08-31,ok
33178,91,2015-07-20,ok
25721,71,2015-03-11,ok
16602,46,2015-04-19,ok
30540,84,2015-05-08,ok
30016,82,2015-12-04,ok
1912,6,2015-03-23,ok
30731,84,2015-11-15,ok
22776,63,2015-02-25,ok
31568,87,2015-02-27,ok
19562,54,2015-05-18,ok
28998,80,2015-02-21,ok
13631,38,2015-03-08,ok
25055,69,2015-05-17,ok
7139,20,2015-06-22,ok
27169,75,2015-02-22,ok
21083,58,2015-07-13,ok
30904,85,2015-05-06,ok
23160,64,2015-03-15,ok
15604,43,2015-07-28,ok
26918,74,2015-06-17,ok
12736,35,2015-09-27,ok
11853,33,2015-04-30,ok
11610,32,2015-09-01,ok
24894,68,2015-12-08,ok
9611,27,2015-03-19,ok
8103,23,2015-02-05,ok
34695,95,2015-09-09,ok
28951,80,2015-01-05,ok
23680,65,2015-08-15,ok
7633,21,2015-10-27,ok
31816,87,2015-11-02,ok
30280,83,2015-08-23,ok
4071,12,2015-02-11,ok
10811,30,2015-06-29,ok
34361,94,2015-10-12,ok
22510,62,2015-06-06,ok
1113,4,2015-01-15,ok
31934,88,2015-02-27,ok
23408,64,2015-11-18,ok
13533,37,2015-12-01,ok
17082,47,2015-08-11,ok
32382,89,2015-05-18,ok
17511,48,2015-10-13,ok
25764,71,2015-04-23,ok
3096,9,2015-06-16,ok
13328,37,2015-05-10,ok
24386,67,2015-07-19,ok
25427,70,2015-05-23,ok
2531,7,2015-11-30,ok
7656,21,2015-11-19,ok
3630,10,2015-12-01,ok
35296,97,2015-04-30,ok
33415,92,2015-03-13,ok
3862,11,2015-07-19,ok
3553,10,2015-09-15,ok
23337,64,2015-09-08,ok
24156,66,2015-12-02,ok
20936,58,2015-02-16,ok
24318,67,2015-05-12,ok
27017,74,2015-09-24,ok
25309,70,2015-01-25,ok
31604,87,2015-04-04,ok
18722,52,2015-01-31,ok
4265,12,2015-08-24,ok
14604,40,2015-11-03,ok
25990,71,2015-12-05,ok
27443,75,2015-11-23,ok
16025,44,2015-09-21,ok
14017,39,2015-03-27,ok
711,2,2015-12-11,ok
34390,94,2015-11-10,ok
9294,26,2015-05-07,ok
35036,96,2015-08-15,ok
6726,19,2015-05-06,ok
4624,13,2015-08-16,ok
34858,96,2015-02-18,ok
8250,23,2015-07-02,ok
15592,43,2015-07-16,ok
26416,73,2015-02-01,ok
26976,74,2015-08-14,ok
14597,40,2015-10-27,ok
986,3,2015-09-11,ok
23493,65,2015-02-10,ok
30796,85,2015-01-18,ok
11521,32,2015-06-05,ok
15716,43,2015-11-17,comp2
9801,27,2015-09-25,ok
25794,71,2015-05-23,ok
20285,56,2015-05-09,ok
12943,36,2015-04-21,ok
35554,98,2015-01-12,ok
30197,83,2015-06-02,ok
17766,49,2015-06-24,ok
17952,49,2015-12-26,comp4
5978,17,2015-04-21,ok
12220,34,2015-05-01,ok
8325,23,2015-09-15,ok
13760,38,2015-07-15,ok
11652,32,2015-10-13,ok
25735,71,2015-03-25,ok
30695,84,2015-10-10,ok
10606,29,2015-12-07,ok
28431,78,2015-08-05,ok
15813,44,2015-02-21,ok
25269,69,2015-12-17,ok
8466,24,2015-02-02,ok
7452,21,2015-04-30,ok
36576,100,2015-10-27,ok
14583,40,2015-10-13,ok
30137,83,2015-04-03,ok
23613,65,2015-06-10,ok
21726,60,2015-04-15,comp2
28408,78,2015-07-13,ok
26347,72,2015-11-26,ok
4595,13,2015-07-18,ok
15111,42,2015-03-23,ok
2900,8,2015-12-03,ok
20922,58,2015-02-02,ok
20276,56,2015-04-30,ok
27533,76,2015-02-20,ok
7374,21,2015-02-11,ok
13373,37,2015-06-24,ok
35142,96,2015-11-29,ok
15274,42,2015-09-02,ok
13015,36,2015-07-02,ok
36375,100,2015-04-09,ok
32979,91,2015-01-02,ok
22999,63,2015-10-06,ok
35070,96,2015-09-18,ok
20685,57,2015-06-11,ok
2048,6,2015-08-06,ok
29792,82,2015-04-24,ok
33683,92,2015-12-05,ok
29637,81,2015-11-21,ok
1494,5,2015-01-30,ok
3126,9,2015-07-16,ok
28175,77,2015-11-23,ok
29329,81,2015-01-17,comp2
36628,100,2015-12-18,ok
33679,92,2015-12-01,comp3
20555,57,2015-02-01,ok
9172,26,2015-01-05,ok
27305,75,2015-07-08,ok
32514,89,2015-09-27,ok
33528,92,2015-07-03,ok
8507,24,2015-03-15,ok
18785,52,2015-04-04,ok
3631,10,2015-12-02,ok
401,2,2015-02-05,ok
2814,8,2015-09-08,ok
35542,97,2016-01-01,ok
28798,79,2015-08-06,ok
34068,93,2015-12-24,ok
6716,19,2015-04-26,ok
19072,53,2015-01-14,ok
26203,72,2015-07-05,ok
12293,34,2015-07-13,ok
5620,16,2015-05-01,ok
2649,8,2015-03-27,ok
12563,35,2015-04-08,ok
3682,11,2015-01-21,ok
30233,83,2015-07-08,ok
9788,27,2015-09-12,ok
14891,41,2015-08-16,ok
21284,59,2015-01-29,ok
29101,80,2015-06-04,ok
31659,87,2015-05-29,ok
2364,7,2015-06-16,ok
10669,30,2015-02-07,ok
33788,93,2015-03-19,ok
17174,47,2015-11-11,ok
22200,61,2015-08-01,ok
33940,93,2015-08-18,ok
9176,26,2015-01-09,ok
20726,57,2015-07-22,ok
9258,26,2015-04-01,ok
34895,96,2015-03-27,ok
28868,79,2015-10-15,ok
22845,63,2015-05-05,ok
9602,27,2015-03-10,ok
2247,7,2015-02-19,ok
6529,18,2015-10-22,ok
21661,60,2015-02-09,ok
13237,37,2015-02-08,ok
3829,11,2015-06-16,ok
2225,7,2015-01-28,ok
11924,33,2015-07-10,ok
1291,4,2015-07-12,ok
32515,89,2015-09-28,ok
9127,25,2015-11-22,ok
3319,10,2015-01-24,ok
14185,39,2015-09-11,ok
29364,81,2015-02-21,ok
30264,83,2015-08-07,ok
19182,53,2015-05-04,ok
26352,72,2015-12-01,ok
13229,37,2015-01-31,ok
33535,92,2015-07-10,ok
5036,14,2015-09-29,ok
20387,56,2015-08-19,ok
30601,84,2015-07-08,ok
17337,48,2015-04-22,ok
9946,28,2015-02-16,ok
34226,94,2015-05-30,ok
33361,92,2015-01-18,ok
15622,43,2015-08-15,ok
29605,81,2015-10-20,ok
22051,61,2015-03-05,ok
26122,72,2015-04-15,ok
34547,95,2015-04-14,ok
29760,82,2015-03-23,ok
2747,8,2015-07-03,ok
4407,13,2015-01-12,ok
8931,25,2015-05-12,ok
3,1,2015-01-04,ok
24698,68,2015-05-26,ok
5068,14,2015-10-31,ok
36211,99,2015-10-28,ok
22025,61,2015-02-07,ok
1761,5,2015-10-24,ok
33582,92,2015-08-26,ok
24924,69,2015-01-06,ok
7336,21,2015-01-04,ok
10804,30,2015-06-22,ok
2378,7,2015-06-30,ok
33306,91,2015-11-25,ok
29503,81,2015-07-10,ok
20949,58,2015-03-01,ok
22107,61,2015-04-30,ok
9986,28,2015-03-28,ok
2355,7,2015-06-07,ok
856,3,2015-05-04,ok
26391,73,2015-01-07,ok
8320,23,2015-09-10,ok
21681,60,2015-03-01,ok
30840,85,2015-03-03,ok
26336,72,2015-11-15,ok
32713,90,2015-04-13,ok
6937,19,2015-12-03,ok
32442,89,2015-07-17,ok
7099,20,2015-05-13,ok
11586,32,2015-08-08,comp1
23900,66,2015-03-22,ok
12266,34,2015-06-16,ok
25299,70,2015-01-15,ok
5434,15,2015-10-30,ok
28923,79,2015-12-09,ok
16641,46,2015-05-28,ok
21617,59,2015-12-28,ok
21742,60,2015-05-01,ok
12038,33,2015-11-01,ok
18517,51,2015-07-12,ok
30119,83,2015-03-16,ok
11385,32,2015-01-20,ok
15187,42,2015-06-07,ok
10231,28,2015-11-28,ok
27784,76,2015-10-29,ok
31679,87,2015-06-18,ok
13218,37,2015-01-20,ok
26232,72,2015-08-03,ok
20769,57,2015-09-03,ok
27097,74,2015-12-13,ok
13985,39,2015-02-23,ok
11082,31,2015-03-25,ok
9922,28,2015-01-23,ok
9954,28,2015-02-24,ok
783,3,2015-02-20,ok
21476,59,2015-08-09,ok
31765,87,2015-09-12,ok
3426,10,2015-05-11,ok
15629,43,2015-08-22,ok
2458,7,2015-09-18,ok
19886,55,2015-04-06,ok
33026,91,2015-02-18,ok
13004,36,2015-06-21,comp2
20164,56,2015-01-08,ok
12345,34,2015-09-03,ok
19369,53,2015-11-07,ok
29225,80,2015-10-06,ok
21382,59,2015-05-07,ok
8495,24,2015-03-03,ok
20436,56,2015-10-06,ok
27109,74,2015-12-25,ok
19674,54,2015-09-07,ok
14740,41,2015-03-18,ok
4416,13,2015-01-21,ok
10736,30,2015-04-15,ok
16412,45,2015-10-12,ok
32211,88,2015-11-30,comp4
11180,31,2015-07-01,ok
5310,15,2015-06-28,ok
17132,47,2015-09-30,ok
20129,55,2015-12-05,ok
15960,44,2015-07-18,ok
19090,53,2015-02-01,ok
21465,59,2015-07-29,ok
1470,5,2015-01-06,ok
34100,94,2015-01-24,ok
26060,72,2015-02-12,ok
22791,63,2015-03-12,ok
990,3,2015-09-15,ok
23141,64,2015-02-24,ok
36296,100,2015-01-20,ok
12748,35,2015-10-09,ok
24575,68,2015-01-23,ok
8200,23,2015-05-13,ok
6197,17,2015-11-25,ok
16898,47,2015-02-08,ok
10301,29,2015-02-05,ok
22557,62,2015-07-23,ok
23501,65,2015-02-18,ok
7309,20,2015-12-09,ok
8897,25,2015-04-08,ok
3102,9,2015-06-22,ok
20899,58,2015-01-10,ok
29234,80,2015-10-15,ok
20426,56,2015-09-26,comp2
5870,17,2015-01-04,ok
12393,34,2015-10-21,ok
2386,7,2015-07-08,comp2
24621,68,2015-03-10,ok
11380,32,2015-01-15,ok
9844,27,2015-11-07,ok
18594,51,2015-09-27,ok
10883,30,2015-09-08,ok
26727,73,2015-12-09,ok
589,2,2015-08-11,ok
17261,48,2015-02-05,ok
3922,11,2015-09-17,ok
32097,88,2015-08-09,ok
20363,56,2015-07-26,ok
14088,39,2015-06-06,ok
315,1,2015-11-12,ok
32131,88,2015-09-11,ok
34035,93,2015-11-21,ok
16464,45,2015-12-03,ok
275,1,2015-10-03,ok
11983,33,2015-09-07,ok
13010,36,2015-06-27,ok
4527,13,2015-05-11,ok
9339,26,2015-06-21,ok
13334,37,2015-05-16,ok
34045,93,2015-12-01,ok
24000,66,2015-06-29,ok
24885,68,2015-11-29,ok
8533,24,2015-04-10,ok
16269,45,2015-05-22,comp4
23607,65,2015-06-04,ok
2308,7,2015-04-21,ok
3585,10,2015-10-17,ok
31763,87,2015-09-10,ok
35374,97,2015-07-17,ok
415,2,2015-02-19,ok
687,2,2015-11-17,ok
16926,47,2015-03-08,ok
34009,93,2015-10-26,ok
1283,4,2015-07-04,ok
2908,8,2015-12-11,ok
32561,89,2015-11-13,ok
11918,33,2015-07-04,ok
18314,50,2015-12-22,ok
30251,83,2015-07-25,ok
19375,53,2015-11-13,ok
4684,13,2015-10-14,ok
4021,11,2015-12-25,ok
16535,46,2015-02-11,ok
17592,49,2015-01-01,ok
15072,42,2015-02-12,ok
3573,10,2015-10-05,ok
17677,49,2015-03-27,ok
32332,89,2015-03-29,ok
8255,23,2015-07-07,ok
32021,88,2015-05-25,ok
7117,20,2015-05-31,ok
14487,40,2015-07-09,ok
25703,71,2015-02-21,ok
33721,93,2015-01-11,ok
17348,48,2015-05-03,ok
29696,82,2015-01-18,ok
12262,34,2015-06-12,ok
22706,62,2015-12-19,ok
14368,40,2015-03-12,ok
24380,67,2015-07-13,ok
7662,21,2015-11-25,ok
34921,96,2015-04-22,ok
2339,7,2015-05-22,ok
29693,82,2015-01-15,ok
2424,7,2015-08-15,ok
7260,20,2015-10-21,ok
14019,39,2015-03-29,ok
19718,54,2015-10-21,ok
11694,32,2015-11-24,ok
17328,48,2015-04-13,ok
11255,31,2015-09-14,ok
7163,20,2015-07-16,ok
2090,6,2015-09-17,ok
999,3,2015-09-24,ok
13069,36,2015-08-25,ok
20444,56,2015-10-14,ok
20580,57,2015-02-26,ok
29831,82,2015-06-02,ok
4062,12,2015-02-02,ok
30385,83,2015-12-06,ok
24713,68,2015-06-10,ok
5584,16,2015-03-26,ok
18432,51,2015-04-18,ok
9112,25,2015-11-07,ok
34149,94,2015-03-14,ok
8133,23,2015-03-07,ok
6874,19,2015-10-01,ok
28691,79,2015-04-21,ok
31739,87,2015-08-17,ok
21808,60,2015-07-06,ok
5046,14,2015-10-09,ok
14967,41,2015-10-31,ok
27978,77,2015-05-10,ok
6369,18,2015-05-15,comp4
20382,56,2015-08-14,ok
3019,9,2015-03-31,ok
21523,59,2015-09-25,ok
13086,36,2015-09-11,ok
28402,78,2015-07-07,ok
22609,62,2015-09-13,ok
7829,22,2015-05-09,ok
10572,29,2015-11-03,ok
2675,8,2015-04-22,ok
5624,16,2015-05-05,ok
5717,16,2015-08-05,ok
34346,94,2015-09-27,ok
13112,36,2015-10-07,ok
21865,60,2015-09-01,ok
24046,66,2015-08-14,ok
25039,69,2015-05-01,ok
36640,100,2015-12-30,ok
12907,36,2015-03-16,ok
149,1,2015-05-30,ok
31181,86,2015-02-06,ok
594,2,2015-08-16,ok
26468,73,2015-03-25,ok
32349,89,2015-04-15,ok
33509,92,2015-06-14,ok
22341,61,2015-12-20,ok
33839,93,2015-05-09,ok
27136,75,2015-01-20,ok
11338,31,2015-12-05,ok
21404,59,2015-05-29,ok
27152,75,2015-02-05,ok
28297,78,2015-03-24,ok
16000,44,2015-08-27,ok
33538,92,2015-07-13,ok
5517,16,2015-01-18,ok
1522,5,2015-02-27,ok
17033,47,2015-06-23,comp3
10378,29,2015-04-23,ok
11566,32,2015-07-19,ok
20190,56,2015-02-03,ok
26602,73,2015-08-06,ok
4385,12,2015-12-22,ok
1721,5,2015-09-14,ok
27012,74,2015-09-19,ok
20101,55,2015-11-07,ok
5451,15,2015-11-15,ok
36580,100,2015-10-31,ok
32291,89,2015-02-16,ok
24995,69,2015-03-18,ok
33167,91,2015-07-09,ok
7814,22,2015-04-24,ok
25902,71,2015-09-08,ok
34821,96,2015-01-12,ok
16946,47,2015-03-28,ok
9750,27,2015-08-05,ok
14523,40,2015-08-14,ok
22980,63,2015-09-17,ok
35157,96,2015-12-14,ok
24701,68,2015-05-29,ok
22352,61,2015-12-31,ok
32729,90,2015-04-29,ok
1284,4,2015-07-05,ok
24273,67,2015-03-28,ok
8351,23,2015-10-11,ok
4779,14,2015-01-15,ok
35546,98,2015-01-04,ok
11561,32,2015-07-14,ok
7938,22,2015-08-25,ok
705,2,2015-12-05,ok
28370,78,2015-06-05,comp4
32918,90,2015-11-03,ok
31837,87,2015-11-23,ok
36288,100,2015-01-12,ok
30940,85,2015-06-11,ok
19374,53,2015-11-12,ok
8168,23,2015-04-11,ok
1973,6,2015-05-23,ok
14584,40,2015-10-14,ok
26397,73,2015-01-13,ok
18384,51,2015-03-01,ok
13867,38,2015-10-30,ok
14178,39,2015-09-04,ok
33610,92,2015-09-23,ok
11247,31,2015-09-06,ok
7903,22,2015-07-21,ok
1847,6,2015-01-17,ok
16742,46,2015-09-06,ok
21168,58,2015-10-06,ok
13323,37,2015-05-05,ok
28306,78,2015-04-02,ok
8810,25,2015-01-11,ok
6071,17,2015-07-23,ok
2496,7,2015-10-26,ok
1594,5,2015-05-10,ok
4608,13,2015-07-31,ok
353,1,2015-12-20,ok
9310,26,2015-05-23,ok
20103,55,2015-11-09,ok
34559,95,2015-04-26,ok
32547,89,2015-10-30,ok
7186,20,2015-08-08,ok
10686,30,2015-02-24,ok
11337,31,2015-12-04,ok
8959,25,2015-06-08,ok
23576,65,2015-05-04,ok
1613,5,2015-05-29,ok
24462,67,2015-10-03,ok
29342,81,2015-01-30,ok
5915,17,2015-02-18,ok
25664,71,2015-01-14,ok
30633,84,2015-08-09,ok
7980,22,2015-10-06,ok
33393,92,2015-02-19,comp3
21955,60,2015-11-30,ok
7134,20,2015-06-17,ok
32022,88,2015-05-26,ok
5518,16,2015-01-19,ok
6552,18,2015-11-14,ok
25936,71,2015-10-12,ok
31411,86,2015-09-24,ok
3290,9,2015-12-27,ok
8898,25,2015-04-09,ok
32070,88,2015-07-13,ok
8691,24,2015-09-15,ok
24393,67,2015-07-26,ok
32638,90,2015-01-28,ok
12644,35,2015-06-28,ok
3899,11,2015-08-25,ok
